"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Dec 19 17:14:18 GMT 2022","Mon Dec 19 17:14:19 GMT 2022","1552","tests","test_combine","","","","test_search_issue_positive",""
"broken","Mon Dec 19 17:14:20 GMT 2022","Mon Dec 19 17:14:21 GMT 2022","771","tests","test_steps","","","","test_dynamic_steps",""
"passed","Mon Dec 19 17:14:18 GMT 2022","Mon Dec 19 17:14:18 GMT 2022","1","tests","test_attachments","","","","test_attachments",""
"passed","Mon Dec 19 17:14:18 GMT 2022","Mon Dec 19 17:14:18 GMT 2022","0","tests","test_combine","","","","test_create_issue_auth_user",""
"passed","Mon Dec 19 17:14:18 GMT 2022","Mon Dec 19 17:14:18 GMT 2022","0","tests","test_combine","","","","test_cant_create_issue_not_auth_user",""
"passed","Mon Dec 19 17:14:19 GMT 2022","Mon Dec 19 17:14:19 GMT 2022","0","tests","test_lables","","","","test_decorator_labels",""
"passed","Mon Dec 19 17:14:19 GMT 2022","Mon Dec 19 17:14:19 GMT 2022","0","tests","test_lables","","","","test_no_labels",""
"broken","Mon Dec 19 17:14:21 GMT 2022","Mon Dec 19 17:14:22 GMT 2022","771","tests","test_steps","","","","test_decorator_steps",""
"broken","Mon Dec 19 17:14:19 GMT 2022","Mon Dec 19 17:14:20 GMT 2022","782","tests","test_selene","","","","test_github",""
"passed","Mon Dec 19 17:14:19 GMT 2022","Mon Dec 19 17:14:19 GMT 2022","0","tests","test_lables","","","","test_dynamic_labels",""
