"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 07:48:51 GMT 2022","Mon Dec 19 07:48:51 GMT 2022","0","tests","test_attachments","","","","test_attachments",""
"passed","Mon Dec 19 07:48:58 GMT 2022","Mon Dec 19 07:48:58 GMT 2022","0","tests","test_lables","","","","test_decorator_labels",""
"passed","Mon Dec 19 07:48:51 GMT 2022","Mon Dec 19 07:48:51 GMT 2022","1","tests","test_combine","","","","test_cant_create_issue_not_auth_user",""
"broken","Mon Dec 19 07:48:59 GMT 2022","Mon Dec 19 07:48:59 GMT 2022","778","tests","test_steps","","","","test_dynamic_steps",""
"broken","Mon Dec 19 07:48:58 GMT 2022","Mon Dec 19 07:48:59 GMT 2022","793","tests","test_selene","","","","test_github",""
"passed","Mon Dec 19 07:48:58 GMT 2022","Mon Dec 19 07:48:58 GMT 2022","1","tests","test_lables","","","","test_dynamic_labels",""
"passed","Mon Dec 19 07:48:58 GMT 2022","Mon Dec 19 07:48:58 GMT 2022","0","tests","test_lables","","","","test_no_labels",""
"broken","Mon Dec 19 07:49:00 GMT 2022","Mon Dec 19 07:49:00 GMT 2022","787","tests","test_steps","","","","test_decorator_steps",""
"passed","Mon Dec 19 07:48:51 GMT 2022","Mon Dec 19 07:48:51 GMT 2022","0","tests","test_combine","","","","test_create_issue_auth_user",""
"broken","Mon Dec 19 07:48:51 GMT 2022","Mon Dec 19 07:48:58 GMT 2022","6595","tests","test_combine","","","","test_search_issue_positive",""
